timestamp,festool_charger_accuConnected_0,festool_charger_accuConnected_1,festool_charger_accuConnected_2,festool_charger_accuConnected_3,festool_charger_accuConnected_4,festool_charger_accuConnected_5,festool_charger_accuConnected_6,festool_charger_accuConnected_7,festool_charger_accuLoading_0,festool_charger_accuLoading_1,festool_charger_accuLoading_2,festool_charger_accuLoading_3,festool_charger_accuLoading_4,festool_charger_accuLoading_5,festool_charger_accuLoading_6,festool_charger_accuLoading_7,festool_charger_batteryLow_0,festool_charger_batteryLow_1,festool_charger_capacities_0,festool_charger_capacities_1,festool_charger_capacities_2,festool_charger_capacities_3,festool_charger_capacities_4,festool_charger_capacities_5,festool_charger_capacities_6,festool_charger_capacities_7,festool_charger_chargerConnected_0,festool_charger_chargerConnected_1,festool_charger_externalPower_0,festool_charger_externalPower_1,festool_charger_message,festool_charger_time_0,festool_charger_time_1,festool_charger_version_0,festool_charger_version_1,festool_charger_voltages_0,festool_charger_voltages_1,festool_charger_voltages_2,festool_charger_voltages_3,festool_charger_voltages_4,festool_charger_voltages_5,festool_charger_voltages_6,festool_charger_voltages_7,power_batteryLow,power_batteryLowShutdownCounter,power_batteryType,power_ext_power,power_num_chargers,power_voltage,charger_0_bat1temp,charger_0_bat2temp,charger_0_batteryVoltage,charger_0_chargerNumber,charger_0_chargingCurrent,charger_0_state,charger_0_state_number,charger_0_time,charger_0_version,charger_1_bat1temp,charger_1_bat2temp,charger_1_batteryVoltage,charger_1_chargerNumber,charger_1_chargingCurrent,charger_1_state,charger_1_state_number,charger_1_time,charger_1_version,controller_hardware,controller_software,analoginputarray_0,analoginputarray_1,analoginputarray_2,analoginputarray_3,analoginputarray_4,analoginputarray_5,analoginputarray_6,analoginputarray_7,digitalinputarray_0,digitalinputarray_1,digitalinputarray_2,digitalinputarray_3,digitalinputarray_4,digitalinputarray_5,digitalinputarray_6,digitalinputarray_7,digitaloutputstatus_0,digitaloutputstatus_1,digitaloutputstatus_2,digitaloutputstatus_3,digitaloutputstatus_4,digitaloutputstatus_5,digitaloutputstatus_6,digitaloutputstatus_7,relaystatus_0,relaystatus_1,distancesensorarray_0,distancesensorarray_1,distancesensorarray_2,distancesensorarray_3,distancesensorarray_4,distancesensorarray_5,distancesensorarray_6,distancesensorarray_7,distancesensorarray_8,odometry_x,odometry_y,odometry_phi,odometry_vx,odometry_vy,odometry_omega,odometry_seq,image_version,power_output_current
2025-04-16T15:10:13.652187,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,-2,-2,-2,-2,-2,-2,0,0,0,0,,52227,0,2.2.6,0.0.0,19.161001205444336,18.935001373291016,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.935001373291016,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.0048828125,0.00244140625,0,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.2816026508808136,0.1996191442012787,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.07748422724346417,3.7570811381694194,1.6523031890392303,0,0,0,8252,"4.20.8
",
2025-04-16T15:10:14.068041,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,-2,-2,-2,-2,-2,-2,0,0,0,0,,52227,0,2.2.6,0.0.0,19.161001205444336,18.935001373291016,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.935001373291016,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.00244140625,0.00244140625,0.00244140625,0.0048828125,0.00244140625,0.00244140625,0.0048828125,0.0048828125,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.07748422724346417,3.7570811381694194,1.6523031890392303,0,0,0,8261,"4.20.8
",0.29692748188972473
2025-04-16T15:10:14.479593,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,-2,-2,-2,-2,-2,-2,0,0,0,0,,53127,0,2.2.6,0.0.0,19.161001205444336,18.935001373291016,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.935001373291016,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.0048828125,0.0048828125,0.0048828125,0.00244140625,0.0048828125,0.00244140625,0.00244140625,0.00244140625,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.07748422724346417,3.7570811381694194,1.6523031890392303,0,0,0,8270,"4.20.8
",0.29692748188972473
2025-04-16T15:10:14.874550,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,-2,-2,-2,-2,-2,-2,0,0,0,0,,53127,0,2.2.6,0.0.0,19.161001205444336,18.935001373291016,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.935001373291016,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.0048828125,0.0048828125,0.0048828125,0.00244140625,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.07748422724346417,3.7570811381694194,1.6523031890392303,0,0,0,8278,"4.20.8
",0.29032909870147705
2025-04-16T15:10:15.305396,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,-2,-2,-2,-2,-2,-2,0,0,0,0,,53127,0,2.2.6,0.0.0,19.161001205444336,18.935001373291016,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.935001373291016,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.00244140625,0.00244140625,0.0048828125,0.0048828125,0.00244140625,0.00244140625,0.00244140625,0.0048828125,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.07748422724346417,3.7570811381694194,1.6523031890392303,0,0,0,8286,"4.20.8
",0.29692748188972473
2025-04-16T15:10:15.799286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,-2,-2,-2,-2,-2,-2,0,0,0,0,"146:17:15:586 IDLE -> SCAN 1
146:17:15:686 SCAN -> IDLE 1
",53956,0,2.2.6,0.0.0,19.161001205444336,18.935001373291016,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.935001373291016,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.0048828125,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.00244140625,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.07748422724346417,3.7570811381694194,1.6523031890392303,0,0,0,8296,"4.20.8
",0.29032909870147705
2025-04-16T15:10:16.275213,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,-2,-2,-2,-2,-2,-2,0,0,0,0,,54827,0,2.2.6,0.0.0,19.161001205444336,18.935001373291016,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.935001373291016,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.0048828125,0.0048828125,0.0048828125,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.00244140625,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.07748422724346417,3.7570811381694194,1.6523031890392303,0,0,0,8304,"4.20.8
",0.29032909870147705
2025-04-16T15:10:16.691988,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,-2,-2,-2,-2,-2,-2,0,0,0,0,,54827,0,2.2.6,0.0.0,19.161001205444336,18.935001373291016,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.935001373291016,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.0048828125,0.00244140625,0.0048828125,0.00244140625,0.00244140625,0.00244140625,0.0048828125,0.00244140625,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.07748422724346417,3.7570811381694194,1.6523031890392303,0,0,0,8314,"4.20.8
",0.29032909870147705
2025-04-16T15:10:17.118417,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,-2,-2,-2,-2,-2,-2,0,0,0,0,,55727,0,2.2.6,0.0.0,19.161001205444336,18.935001373291016,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.935001373291016,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.0048828125,0.00244140625,0.00244140625,0.0048828125,0.00244140625,0.0048828125,0.00244140625,0.00244140625,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.07748422724346417,3.7570811381694194,1.6523031890392303,0,0,0,8322,"4.20.8
",0.29692748188972473
2025-04-16T15:10:17.596634,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,-2,-2,-2,-2,-2,-2,0,0,0,0,,55727,0,2.2.6,0.0.0,19.161001205444336,18.935001373291016,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.935001373291016,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.00244140625,0.00244140625,0.00244140625,0.0048828125,0.00244140625,0.0048828125,0.00244140625,0.00244140625,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.07748422724346417,3.7570811381694194,1.6523031890392303,0,0,0,8334,"4.20.8
",0.29692748188972473
2025-04-16T15:10:18.159121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,-2,-2,-2,-2,-2,-2,0,0,0,0,,56627,0,2.2.6,0.0.0,19.161001205444336,18.935001373291016,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.935001373291016,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.0048828125,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.0048828125,0.00244140625,0.0048828125,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.07748422724346417,3.7570811381694194,1.6523031890392303,0,0,0,8346,"4.20.8
",0.29032909870147705
2025-04-16T15:10:18.712155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,-2,-2,-2,-2,-2,-2,0,0,0,0,,56627,0,2.2.6,0.0.0,19.161001205444336,18.935001373291016,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.935001373291016,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.0048828125,0.0048828125,0.0048828125,0.00244140625,0.0048828125,0.00244140625,0.00244140625,0.00244140625,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.07748422724346417,3.7570811381694194,1.6523031890392303,0,0,0,8356,"4.20.8
",0.29692748188972473
2025-04-16T15:10:19.219819,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,-2,-2,-2,-2,-2,-2,0,0,0,0,,57527,0,2.2.6,0.0.0,19.161001205444336,18.935001373291016,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.935001373291016,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.0048828125,0.0048828125,0.00244140625,0.00244140625,0.0048828125,0.0048828125,0.0048828125,0.00244140625,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.07748422724346417,3.7570811381694194,1.6523031890392303,0,0,0,8364,"4.20.8
",0.29032909870147705
2025-04-16T15:10:19.673212,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,-2,-2,-2,-2,-2,-2,0,0,0,0,,57527,0,2.2.6,0.0.0,19.161001205444336,18.935001373291016,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.935001373291016,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.0048828125,0.00244140625,0.00244140625,0.00244140625,0.0048828125,0.00244140625,0.0048828125,0.00244140625,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.07748422724346417,3.7570811381694194,1.6523031890392303,0,0,0,8374,"4.20.8
",0.29032909870147705
